domain,oldCategory,oldSubCategory,reason,reasonCode,appPresence,monthlyVisits,monthlyVisitsFormatted,trafficBand,techCount,region
epson.co.in,Textiles & Fabrics,General,Tech stack indicates B2B platform (no ecommerce; multiple B2B tools),b2b_tech_stack,No App,794955,795K,500K-1M,54,India
indiaipo.in,Professional Services,Consulting,Non-D2C category: Professional Services,non_d2c_category,No App,794597,794.6K,500K-1M,,India
edudel.nic.in,EdTech,Special Education,Government/Academic/Non-Profit domain (edudel.nic.in),domain_tld,No App,789125,789.1K,500K-1M,,India
gehu.ac.in,EdTech,Skill Development,Government/Academic/Non-Profit domain (gehu.ac.in),domain_tld,No App,786805,786.8K,500K-1M,38,India
psuconnect.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,777304,777.3K,500K-1M,,India
ehrms.nic.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (ehrms.nic.in),domain_tld,No App,774940,774.9K,500K-1M,13,India
bharatkosh.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (bharatkosh.gov.in),domain_tld,No App,773669,773.7K,500K-1M,,India
egramswaraj.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (egramswaraj.gov.in),domain_tld,No App,773178,773.2K,500K-1M,,India
amity.edu,Schools & Universities,University,Government/Academic/Non-Profit domain (amity.edu),domain_tld,No App,771344,771.3K,500K-1M,,India
edupluscampus.com,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,770259,770.3K,500K-1M,35,India
nfsa.gov.in,Home & Living,Furniture,Government/Academic/Non-Profit domain (nfsa.gov.in),domain_tld,,769105,769.1K,500K-1M,63,India
dhbvn.org.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (dhbvn.org.in),domain_tld,No App,766154,766.2K,500K-1M,,India
galgotiasuniversity.edu.in,Schools & Universities,University,Government/Academic/Non-Profit domain (galgotiasuniversity.edu.in),domain_tld,No App,765321,765.3K,500K-1M,41,India
mha.gov.sg,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (mha.gov.sg),domain_tld,No App,760519,760.5K,500K-1M,,Singapore
tripura.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (tripura.gov.in),domain_tld,No App,760044,760K,500K-1M,,India
zoho.com.cn,SaaS & B2B,CRM & Sales,Non-D2C category: SaaS & B2B,non_d2c_category,No App,752263,752.3K,500K-1M,,China
puchd.ac.in,EdTech,General,Government/Academic/Non-Profit domain (puchd.ac.in),domain_tld,No App,748571,748.6K,500K-1M,,India
cyberpolice.nic.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (cyberpolice.nic.in),domain_tld,No App,744403,744.4K,500K-1M,,India
sanfoundry.com,Semiconductor & Chips,General,Non-D2C category: Semiconductor & Chips,non_d2c_category,No App,740564,740.6K,500K-1M,,Global
brlps.in,Government & Public Sector,Central Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,740198,740.2K,500K-1M,,India
kuk.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (kuk.ac.in),domain_tld,No App,739564,739.6K,500K-1M,,India
acciojob.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,728629,728.6K,500K-1M,,India
dopt.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (dopt.gov.in),domain_tld,No App,727305,727.3K,500K-1M,,India
pdsodisha.gov.in,Wholesale & Distribution,General,Government/Academic/Non-Profit domain (pdsodisha.gov.in),domain_tld,No App,726676,726.7K,500K-1M,,India
tutedude.com,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,725292,725.3K,500K-1M,,Global
mahabocw.in,Government & Public Sector,Central Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,724199,724.2K,500K-1M,,India
sscnr.nic.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (sscnr.nic.in),domain_tld,No App,721496,721.5K,500K-1M,,India
ircep.gov.in,Construction & Building Materials,General,Government/Academic/Non-Profit domain (ircep.gov.in),domain_tld,No App,715976,716K,500K-1M,,India
odishatreasury.gov.in,Electronics & Tech,General,Government/Academic/Non-Profit domain (odishatreasury.gov.in),domain_tld,,715098,715.1K,500K-1M,6,India
education.gov.dz,EdTech,General,Government/Academic/Non-Profit domain (education.gov.dz),domain_tld,No App,708749,708.7K,500K-1M,,Global
jobyaari.com,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,698406,698.4K,500K-1M,,India
pecindia.co.in,Web Hosting & Domains,General,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,692706,692.7K,500K-1M,,India
apdcl.org,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,676402,676.4K,500K-1M,,Global
knowledgegate.ai,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,675518,675.5K,500K-1M,19,India
bseodisha.ac.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (bseodisha.ac.in),domain_tld,No App,667749,667.7K,500K-1M,6,India
haryanajobs.in,Government & Public Sector,Defense & Military,Non-D2C category: Government & Public Sector,non_d2c_category,No App,665155,665.2K,500K-1M,,India
nmims.edu,Schools & Universities,University,Government/Academic/Non-Profit domain (nmims.edu),domain_tld,No App,665033,665K,500K-1M,47,Global
mdu.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (mdu.ac.in),domain_tld,No App,661085,661.1K,500K-1M,,India
showmyip.com,Web Hosting & Domains,Domain Services,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,659636,659.6K,500K-1M,,Global
goa.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (goa.gov.in),domain_tld,No App,658217,658.2K,500K-1M,,India
fortunebusinessinsights.com,Aerospace & Defense,General,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,653223,653.2K,500K-1M,,US
jgu.edu.in,News & Media,General,Government/Academic/Non-Profit domain (jgu.edu.in),domain_tld,No App,652090,652.1K,500K-1M,,India
prepinsta.com,AI & Data Science,NLP & Conversational AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,647350,647.4K,500K-1M,,UK
jobcode.in,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,637986,638K,500K-1M,,India
nclt.gov.in,Government & Public Sector,Judiciary & Courts,Government/Academic/Non-Profit domain (nclt.gov.in),domain_tld,No App,637986,638K,500K-1M,,India
nhai.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (nhai.gov.in),domain_tld,No App,637643,637.6K,500K-1M,,India
mitwpu.edu.in,Schools & Universities,University,Government/Academic/Non-Profit domain (mitwpu.edu.in),domain_tld,No App,634364,634.4K,500K-1M,,India
blsinternational.com,Professional Services,IT Services,Non-D2C category: Professional Services,non_d2c_category,No App,633194,633.2K,500K-1M,36,Global
imcost.edu.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (imcost.edu.in),domain_tld,No App,624670,624.7K,500K-1M,,India
uoc.ac.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (uoc.ac.in),domain_tld,No App,615587,615.6K,500K-1M,,India
iitp.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitp.ac.in),domain_tld,No App,613793,613.8K,500K-1M,,India
jainuniversity.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (jainuniversity.ac.in),domain_tld,No App,608971,609K,500K-1M,36,India
edcil.co.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,607157,607.2K,500K-1M,,India
crpf.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (crpf.gov.in),domain_tld,No App,606974,607K,500K-1M,,India
isb.edu,Schools & Universities,Vocational & Trade School,Government/Academic/Non-Profit domain (isb.edu),domain_tld,No App,606369,606.4K,500K-1M,,US
uin-malang.ac.id,Religious & Spiritual,General,Government/Academic/Non-Profit domain (uin-malang.ac.id),domain_tld,No App,600806,600.8K,500K-1M,,Indonesia
rajpsp.nic.in,EdTech,General,Government/Academic/Non-Profit domain (rajpsp.nic.in),domain_tld,No App,600047,600K,500K-1M,7,India
tgche.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (tgche.ac.in),domain_tld,No App,599453,599.5K,500K-1M,42,India
data.gov.in,Government & Public Sector,Public Services,Government/Academic/Non-Profit domain (data.gov.in),domain_tld,No App,597633,597.6K,500K-1M,,India
pmfby.gov.in,Agriculture,General,Government/Academic/Non-Profit domain (pmfby.gov.in),domain_tld,No App,595993,596K,500K-1M,,India
techmahindra.com,Manufacturing,Electronics Manufacturing (EMS),Non-D2C category: Manufacturing,non_d2c_category,No App,593094,593.1K,500K-1M,46,Global
annauniv.edu,Professional Services,Engineering Services,Government/Academic/Non-Profit domain (annauniv.edu),domain_tld,No App,591122,591.1K,500K-1M,,India
workline.hr,SaaS & B2B,Analytics,Non-D2C category: SaaS & B2B,non_d2c_category,No App,590917,590.9K,500K-1M,,Global
ayush.gov.in,Office & Stationery,Notebooks & Planners,Government/Academic/Non-Profit domain (ayush.gov.in),domain_tld,,582374,582.4K,500K-1M,21,India
rezlive.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,581786,581.8K,500K-1M,,Global
pansuvidha.com,Printing & Packaging,General,Non-D2C category: Printing & Packaging,non_d2c_category,No App,579709,579.7K,500K-1M,,India
socialjustice.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (socialjustice.gov.in),domain_tld,No App,575156,575.2K,500K-1M,9,India
dituniversity.edu.in,EdTech,University,Government/Academic/Non-Profit domain (dituniversity.edu.in),domain_tld,No App,572320,572.3K,500K-1M,,India
nbpdcl.co.in,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,571595,571.6K,500K-1M,,India
bennett.edu.in,EdTech,Notebooks & Planners,Government/Academic/Non-Profit domain (bennett.edu.in),domain_tld,No App,567626,567.6K,500K-1M,,India
ssoid.net.in,Government & Public Sector,Public Services,Non-D2C category: Government & Public Sector,non_d2c_category,No App,567521,567.5K,500K-1M,,India
mospi.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (mospi.gov.in),domain_tld,No App,563960,564K,500K-1M,,India
patnahighcourt.gov.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (patnahighcourt.gov.in),domain_tld,No App,559935,559.9K,500K-1M,,India
findmycourse.in,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,553228,553.2K,500K-1M,,India
marketsandmarkets.com,Professional Services,Research,Non-D2C category: Professional Services,non_d2c_category,No App,546325,546.3K,500K-1M,49,US
procam.in,NGO & Non-Profit,Foundation,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,546171,546.2K,500K-1M,,India
finbox.in,Construction & Building Materials,Infrastructure,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,542317,542.3K,500K-1M,,India
wealthelite.in,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,542047,542K,500K-1M,,India
epunjabschool.gov.in,EdTech,General,Government/Academic/Non-Profit domain (epunjabschool.gov.in),domain_tld,No App,539201,539.2K,500K-1M,5,India
bel-india.in,Government & Public Sector,Central Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,530184,530.2K,500K-1M,,India
cpwd.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (cpwd.gov.in),domain_tld,No App,529983,530K,500K-1M,,India
education.wa.edu.au,EdTech,Special Education,Government/Academic/Non-Profit domain (education.wa.edu.au),domain_tld,No App,525759,525.8K,500K-1M,,Australia
ceoodisha.nic.in,EdTech,General,Government/Academic/Non-Profit domain (ceoodisha.nic.in),domain_tld,No App,522598,522.6K,500K-1M,,India
tenderdetail.com,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,521863,521.9K,500K-1M,,Global
weddingz.in,Wedding & Events,Wedding Planning,Tech stack indicates B2B platform (no ecommerce; multiple B2B tools),b2b_tech_stack,,521130,521.1K,500K-1M,32,India
cusat.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (cusat.ac.in),domain_tld,No App,519081,519.1K,500K-1M,16,India
staffnews.in,Government & Public Sector,Regulatory Body,Non-D2C category: Government & Public Sector,non_d2c_category,No App,518827,518.8K,500K-1M,,India
mutawakkil.com,Web Hosting & Domains,Domain Services,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,516343,516.3K,500K-1M,,Global
education.gov.ng,EdTech,General,Government/Academic/Non-Profit domain (education.gov.ng),domain_tld,No App,514541,514.5K,500K-1M,,Global
dtu.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (dtu.ac.in),domain_tld,No App,513736,513.7K,500K-1M,,India
ssms-pilani.in,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,512179,512.2K,500K-1M,,India
neurogumindia.com,Web Hosting & Domains,CDN & Performance,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,508668,508.7K,500K-1M,,India
esalaryhry.nic.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (esalaryhry.nic.in),domain_tld,No App,507506,507.5K,500K-1M,,India
iitism.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitism.ac.in),domain_tld,No App,507172,507.2K,500K-1M,,India
irdai.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (irdai.gov.in),domain_tld,No App,505155,505.2K,500K-1M,,India
ugc.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (ugc.gov.in),domain_tld,No App,504450,504.4K,500K-1M,13,India
iith.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iith.ac.in),domain_tld,No App,503395,503.4K,500K-1M,,India
ugc.ac.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (ugc.ac.in),domain_tld,No App,500955,501K,500K-1M,,India
pupexamination.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (pupexamination.ac.in),domain_tld,No App,500609,500.6K,500K-1M,,India
surveyofindia.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (surveyofindia.gov.in),domain_tld,No App,499523,499.5K,200K-500K,,India
wbtenders.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (wbtenders.gov.in),domain_tld,No App,499373,499.4K,200K-500K,,India
census2011.co.in,Government & Public Sector,Municipal & Local,Non-D2C category: Government & Public Sector,non_d2c_category,No App,497714,497.7K,200K-500K,,India
doptcirculars.nic.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (doptcirculars.nic.in),domain_tld,No App,495592,495.6K,200K-500K,,India
incredibleindia.gov.in,Religious & Spiritual,Temple & Shrine,Government/Academic/Non-Profit domain (incredibleindia.gov.in),domain_tld,No App,490460,490.5K,200K-500K,,India
iitmandi.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitmandi.ac.in),domain_tld,No App,490217,490.2K,200K-500K,20,India
ccsuniversity.ac.in,EdTech,General,Government/Academic/Non-Profit domain (ccsuniversity.ac.in),domain_tld,No App,489498,489.5K,200K-500K,,India
larsentoubro.com,Construction & Building Materials,Infrastructure,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,489381,489.4K,200K-500K,,India
rashtrapatibhavan.gov.in,Home & Living,General,Government/Academic/Non-Profit domain (rashtrapatibhavan.gov.in),domain_tld,,489370,489.4K,200K-500K,21,India
nitt.edu,EdTech,Online Courses,Government/Academic/Non-Profit domain (nitt.edu),domain_tld,No App,487805,487.8K,200K-500K,,India
7searchppc.com,Printing & Packaging,General,Non-D2C category: Printing & Packaging,non_d2c_category,No App,487400,487.4K,200K-500K,,Global
mahaswayam.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (mahaswayam.gov.in),domain_tld,No App,483454,483.5K,200K-500K,,India
codebasics.io,AI & Data Science,Generative AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,483441,483.4K,200K-500K,53,India
